,Epoch,lr,train_loss,valid_loss,train_acc,valid_acc,test_loss,score
0,1.0,0.0003,4.441673263907433,4.186654306948185,0.04567659990229604,0.064453125,0.12435816804645583,0.9648265754763068
1,2.0,0.0009,2.728389287367463,1.3760623093694448,0.36809965803615047,0.6162109375,0.12435816804645583,0.9648265754763068
2,3.0,0.0009,1.0235777469351888,0.5805599689483643,0.7286272594040059,0.85302734375,0.12435816804645583,0.9648265754763068
3,4.0,0.0008756177587652855,0.6286397180519998,0.508075475692749,0.8304836345872008,0.8642578125,0.12435816804645583,0.9648265754763068
4,5.0,0.00084576318804292,0.4549409744795412,0.47866577096283436,0.8742061553492917,0.86767578125,0.12435816804645583,0.9648265754763068
5,6.0,0.0008051132292283772,0.387308832956478,0.3158786050044,0.8932584269662921,0.91015625,0.12435816804645583,0.9648265754763068
6,7.0,0.0007547767072315835,0.3213665666989982,0.32456567231565714,0.9086468001954079,0.9111328125,0.12435816804645583,0.9648265754763068
7,8.0,0.000696126671155092,0.26458595180884004,0.26997839100658894,0.9262335124572545,0.92333984375,0.12435816804645583,0.9648265754763068
8,9.0,0.0006307629410938363,0.20866289362311363,0.2587122244294733,0.9428431851489986,0.93505859375,0.12435816804645583,0.9648265754763068
9,10.0,0.0005604684692133596,0.21908741659717634,0.23504285037051886,0.9391792867611138,0.94140625,0.12435816804645583,0.9648265754763068
10,11.0,0.0004871607054625496,0.1900816328707151,0.21589293924625963,0.9479726428920371,0.94580078125,0.12435816804645583,0.9648265754763068
11,12.0,0.0004128392945374505,0.1646506237448193,0.23814005381427705,0.9557889594528578,0.943359375,0.12435816804645583,0.9648265754763068
12,13.0,0.0003395315307866405,0.15697393045411445,0.25401456723921,0.9587200781631656,0.947265625,0.12435816804645583,0.9648265754763068
13,14.0,0.00026923705890616377,0.1497399062209297,0.1928050149581395,0.9611626770884221,0.95068359375,0.12435816804645583,0.9648265754763068
14,15.0,0.00020387332884490782,0.1483111072157044,0.18404120052582584,0.9604298974108452,0.953125,0.12435816804645583,0.9648265754763068
15,16.0,0.0001452232927684166,0.11430926484172232,0.18041167210321873,0.9687347337567171,0.9541015625,0.12435816804645583,0.9648265754763068
16,17.0,9.488677077162294e-05,0.11838324763812125,0.154410217248369,0.9677576941866145,0.95751953125,0.12435816804645583,0.9648265754763068
17,18.0,5.423681195707997e-05,0.09981314037577249,0.16040829115081578,0.9733756717147044,0.95849609375,0.12435816804645583,0.9648265754763068
18,19.0,2.4382241234714362e-05,0.09298953850520775,0.16026330170279834,0.974352711284807,0.958984375,0.12435816804645583,0.9648265754763068
19,20.0,6.137413468774955e-06,0.10359282392892055,0.16225481702713296,0.9723986321446019,0.95849609375,0.12435816804645583,0.9648265754763068
