,Epoch,lr,train_loss,valid_loss,train_acc,valid_acc,test_loss,score
0,1.0,0.0003,2.7112795673310757,0.6999354641884565,0.43038593063019054,0.83984375,0.06565333904291037,0.9814362481680508
1,2.0,0.0009,0.7069736844860017,0.5500520905479789,0.8165608207132389,0.84912109375,0.06565333904291037,0.9814362481680508
2,3.0,0.0009,0.4458634830079973,0.35351065592840314,0.8778700537371763,0.90087890625,0.06565333904291037,0.9814362481680508
3,4.0,0.0008756177587652855,0.3696924769319594,0.3602811014279723,0.8966780654616512,0.9072265625,0.06565333904291037,0.9814362481680508
4,5.0,0.00084576318804292,0.30155768839176744,0.28491697658319026,0.9164631167562286,0.92431640625,0.06565333904291037,0.9814362481680508
5,6.0,0.0008051132292283772,0.2495092306053266,0.22408083459595218,0.9330727894479727,0.93701171875,0.06565333904291037,0.9814362481680508
6,7.0,0.0007547767072315835,0.23312462121248245,0.19098497286904603,0.9352711284807035,0.94677734375,0.06565333904291037,0.9814362481680508
7,8.0,0.000696126671155092,0.1884843650041148,0.20533084904309362,0.9491939423546654,0.94482421875,0.06565333904291037,0.9814362481680508
8,9.0,0.0006307629410938363,0.1671768723463174,0.14634623407619074,0.9553004396678065,0.95849609375,0.06565333904291037,0.9814362481680508
9,10.0,0.0005604684692133596,0.1583574982942082,0.1521210721693933,0.9567659990229604,0.95849609375,0.06565333904291037,0.9814362481680508
10,11.0,0.0004871607054625496,0.11976943648187444,0.12294680057675578,0.9670249145090376,0.96435546875,0.06565333904291037,0.9814362481680508
11,12.0,0.0004128392945374505,0.10972510220017284,0.1007182494213339,0.9692232535417684,0.97216796875,0.06565333904291037,0.9814362481680508
12,13.0,0.0003395315307866405,0.10171355144120753,0.12252363190054893,0.9704445530043967,0.9677734375,0.06565333904291037,0.9814362481680508
13,14.0,0.00026923705890616377,0.08383454408613034,0.10030604650091846,0.9777723497801661,0.97509765625,0.06565333904291037,0.9814362481680508
14,15.0,0.00020387332884490782,0.07290634475066327,0.10264302702853456,0.9804592085979482,0.974609375,0.06565333904291037,0.9814362481680508
15,16.0,0.0001452232927684166,0.07710147635953035,0.09510437508288305,0.9802149487054226,0.97509765625,0.06565333904291037,0.9814362481680508
16,17.0,9.488677077162294e-05,0.05935903868521564,0.09029652031313162,0.9836345872007817,0.97705078125,0.06565333904291037,0.9814362481680508
17,18.0,5.423681195707997e-05,0.056030218867817894,0.08810281255864538,0.9853444064484611,0.97900390625,0.06565333904291037,0.9814362481680508
18,19.0,2.4382241234714362e-05,0.05660978899686597,0.09155599522637203,0.9841231069858329,0.978515625,0.06565333904291037,0.9814362481680508
19,20.0,6.137413468774955e-06,0.05473908223211765,0.0845269353594631,0.9855886663409869,0.97998046875,0.06565333904291037,0.9814362481680508
