,Epoch,lr,train_loss,valid_loss,acc,test_loss,score
0,1.0,0.0003,2.1065730684204027,0.409225784616865,0.8896484375,0.09116637926475946,0.9794821690278456
1,2.0,0.0009,1.1501142443157732,0.4874839190210878,0.8759765625,0.09116637926475946,0.9794821690278456
2,3.0,0.0009,0.6950672645762097,0.4862958206631447,0.8642578125,0.09116637926475946,0.9794821690278456
3,4.0,0.0008756177587652855,0.5470275452244096,0.3309722398962549,0.912109375,0.09116637926475946,0.9794821690278456
4,5.0,0.00084576318804292,0.5075540367688518,0.26064098247502443,0.9248046875,0.09116637926475946,0.9794821690278456
5,6.0,0.0008051132292283772,0.390692152956035,0.2423873346447749,0.93115234375,0.09116637926475946,0.9794821690278456
6,7.0,0.0007547767072315835,0.38283711500116624,0.277198553520293,0.921875,0.09116637926475946,0.9794821690278456
7,8.0,0.000696126671155092,0.3201877706524101,0.21913669697706695,0.94287109375,0.09116637926475946,0.9794821690278456
8,9.0,0.0006307629410938363,0.2668490234646015,0.19438998817825848,0.9501953125,0.09116637926475946,0.9794821690278456
9,10.0,0.0005604684692133596,0.25243653045617975,0.2826795527752637,0.9326171875,0.09116637926475946,0.9794821690278456
10,11.0,0.0004871607054625496,0.20670559386053355,0.15145508689673726,0.95751953125,0.09116637926475946,0.9794821690278456
11,12.0,0.0004128392945374505,0.18311511105275713,0.1560905877779959,0.95556640625,0.09116637926475946,0.9794821690278456
12,13.0,0.0003395315307866405,0.17401602616882883,0.13436828258840094,0.96533203125,0.09116637926475946,0.9794821690278456
13,14.0,0.00026923705890616377,0.14911630130882259,0.10586207170859652,0.9736328125,0.09116637926475946,0.9794821690278456
14,15.0,0.00020387332884490782,0.12485316742822761,0.09815965191969411,0.97607421875,0.09116637926475946,0.9794821690278456
15,16.0,0.0001452232927684166,0.11636239226209,0.09295160445762773,0.9775390625,0.09116637926475946,0.9794821690278456
16,17.0,9.488677077162294e-05,0.10752843227237463,0.07803225974539885,0.98046875,0.09116637926475946,0.9794821690278456
17,18.0,5.423681195707997e-05,0.07680792757309973,0.07757622367409844,0.97998046875,0.09116637926475946,0.9794821690278456
18,19.0,2.4382241234714362e-05,0.08294735071831383,0.07026235059836772,0.98291015625,0.09116637926475946,0.9794821690278456
19,20.0,6.137413468774955e-06,0.07674406243677367,0.07476506670642014,0.98046875,0.09116637926475946,0.9794821690278456
