,Epoch,lr,train_loss,valid_loss,acc,test_loss,score
0,1.0,0.0003,1.9165593144134618,0.38658485766791273,0.89990234375,0.10324543882436288,0.978505129457743
1,2.0,0.0009,1.1005228126014117,0.6580273827785277,0.8203125,0.10324543882436288,0.978505129457743
2,3.0,0.0009,0.6790805593773257,0.5027150783105299,0.8837890625,0.10324543882436288,0.978505129457743
3,4.0,0.0008756177587652855,0.5328443990438245,0.4614575627613533,0.88134765625,0.10324543882436288,0.978505129457743
4,5.0,0.00084576318804292,0.4498215092753526,0.32375083276588157,0.90576171875,0.10324543882436288,0.978505129457743
5,6.0,0.0008051132292283772,0.4082066191767808,0.5255449775114016,0.87890625,0.10324543882436288,0.978505129457743
6,7.0,0.0007547767072315835,0.3840998827217845,0.33972833472165576,0.92236328125,0.10324543882436288,0.978505129457743
7,8.0,0.000696126671155092,0.3380572196110734,0.5789585381228335,0.91552734375,0.10324543882436288,0.978505129457743
8,9.0,0.0006307629410938363,0.28852397922310047,0.2545796878858937,0.9228515625,0.10324543882436288,0.978505129457743
9,10.0,0.0005604684692133596,0.2541548037552275,0.2638134776957344,0.93017578125,0.10324543882436288,0.978505129457743
10,11.0,0.0004871607054625496,0.20373276511963923,0.17935940867976186,0.95068359375,0.10324543882436288,0.978505129457743
11,12.0,0.0004128392945374505,0.1962571969779674,0.18021536428332752,0.953125,0.10324543882436288,0.978505129457743
12,13.0,0.0003395315307866405,0.17473984513708274,0.17236230999851898,0.95361328125,0.10324543882436288,0.978505129457743
13,14.0,0.00026923705890616377,0.12102303144638427,0.1437930915866179,0.9609375,0.10324543882436288,0.978505129457743
14,15.0,0.00020387332884490782,0.11578428840221022,0.13320403529497327,0.96630859375,0.10324543882436288,0.978505129457743
15,16.0,0.0001452232927684166,0.10060309634718578,0.129271469086369,0.962890625,0.10324543882436288,0.978505129457743
16,17.0,9.488677077162294e-05,0.10474378897924908,0.10916689328560736,0.96630859375,0.10324543882436288,0.978505129457743
17,18.0,5.423681195707997e-05,0.07471833506133407,0.09884053019317207,0.9736328125,0.10324543882436288,0.978505129457743
18,19.0,2.4382241234714362e-05,0.07798345653759498,0.10657266474652971,0.97021484375,0.10324543882436288,0.978505129457743
19,20.0,6.137413468774955e-06,0.0760462268081028,0.10137928795471929,0.97314453125,0.10324543882436288,0.978505129457743
